"stock","year","mean","lower","upper","cv"
"NorthernYukonR.andtribs.","1985",2135.05027627192,1249.90576445069,3020.19478809315,0.207288915314633
"NorthernYukonR.andtribs.","1986",5342.93821356108,3587.74619861422,7098.13022850797,0.164253444901531
"NorthernYukonR.andtribs.","1987",3797.10132687571,2756.91839205749,4837.28426169394,0.136970658045896
"NorthernYukonR.andtribs.","1988",2065.7525479117,222.679294408013,3908.82580141538,0.446102137297829
"NorthernYukonR.andtribs.","1989",6841.4133304119,1942.86707454791,11739.9595862759,0.358006892675864
"NorthernYukonR.andtribs.","1990",10576.0297383932,1250.78210512435,19901.2773716622,0.440867124239273
"NorthernYukonR.andtribs.","1991",15716.9372348297,13716.116841982,17717.7576276775,0.0636517268903324
"NorthernYukonR.andtribs.","1992",9926.3389774763,7583.12511556706,12269.5528393856,0.118030114991348
"NorthernYukonR.andtribs.","1993",10087.0156087625,7456.80998780776,12717.2212297173,0.130375808017484
"NorthernYukonR.andtribs.","1994",10094.3750704156,8135.27430359579,12053.4758372354,0.0970392299252638
"NorthernYukonR.andtribs.","1995",13493.8516104664,11176.713060674,15810.9901602588,0.0858590496132016
"NorthernYukonR.andtribs.","1996",7036.87806233313,4880.77494079919,9192.9811838671,0.153200261709458
"NorthernYukonR.andtribs.","1997",9984.67876592611,7682.24957517671,12287.1079566755,0.115298110471351
"NorthernYukonR.andtribs.","1998",4913.66016765814,2107.13523269584,7720.18510262046,0.285583947526015
"NorthernYukonR.andtribs.","1999",3865.00598571759,2834.55769566831,4895.45427576689,0.133304876351695
"NorthernYukonR.andtribs.","2000",6118.32064482282,4328.21874919153,7908.42254045413,0.146290297579128
"NorthernYukonR.andtribs.","2001",8944.28295839471,5636.5125346816,12252.0533821079,0.184909759625203
"NorthernYukonR.andtribs.","2002",6020.44282187921,4710.05436328443,7330.83128047402,0.108828245476615
"NorthernYukonR.andtribs.","2003",15290.4709314472,12982.3283724506,17598.6134904438,0.0754765032857671
"NorthernYukonR.andtribs.","2004",11109.1966698551,8885.6225845953,13332.7707551149,0.100078077260684
"NorthernYukonR.andtribs.","2005",14910.2634888956,11818.5380356627,18001.9889421285,0.103677760474704
"NorthernYukonR.andtribs.","2006",11527.85512036,7915.22492416727,15140.4853165529,0.15669134277253
"NorthernYukonR.andtribs.","2007",4829.25600769776,3417.27131478042,6241.24070061512,0.146190706256478
"NorthernYukonR.andtribs.","2008",5362.84994763098,4662.11908275837,6063.58081250361,0.0653319477251237
"NorthernYukonR.andtribs.","2009",7365.61992079999,6086.06692552797,8645.17291607203,0.0868598304712046
"NorthernYukonR.andtribs.","2010",3632.48091327106,1994.59700486865,5270.36482167348,0.225449761128613
"NorthernYukonR.andtribs.","2011",4434.10755503651,3697.03123427693,5171.18387579611,0.0831143935516829
"NorthernYukonR.andtribs.","2012",4498.51273157241,3173.3969067105,5823.62855643433,0.147283769540287
"NorthernYukonR.andtribs.","2013",6092.30461281548,5686.79863908968,6497.8105865413,0.033280178807278
"NorthernYukonR.andtribs.","2014",5465.40788777688,4108.31332646891,6822.50244908488,0.124153090599428
"NorthernYukonR.andtribs.","2015",7121.94428075518,5953.5651358731,8290.32342563729,0.0820266979649974
"NorthernYukonR.andtribs.","2016",7379.50124418207,5973.72288196382,8785.27960640035,0.0952488735825178
"NorthernYukonR.andtribs.","2017",6461.2134321804,4949.71229325505,7972.71457110578,0.11696728136214
"NorthernYukonR.andtribs.","2018",5381.13729606915,4048.5547140892,6713.71987804913,0.123819790191322
"NorthernYukonR.andtribs.","2019",2639.42098887396,1723.28195672224,3555.56002102567,0.173549243567727
"NorthernYukonR.andtribs.","2020",5726.9822818753,4925.38576683886,6528.57879691176,0.0699841972248923
"NorthernYukonR.andtribs.","2021",3230.78853013294,2363.71628495043,4097.86077531546,0.134188950637824
"NorthernYukonR.andtribs.","2022",663.309880056394,293.160188593574,1033.45957151921,0.279017170248805
"NorthernYukonR.andtribs.","2023",2079.60386107995,1223.84897395428,2935.35874820562,0.205749494685318
"NorthernYukonR.andtribs.","2024",2822.60493595238,1966.84479953694,3678.36507236782,0.151590491023976
"Whiteandtribs.","1985",2325.9308947883,1400.88952040248,3250.97226917412,0.198854010765875
"Whiteandtribs.","1986",5507.68852119328,3650.85406506317,7364.52297732342,0.168567489699638
"Whiteandtribs.","1987",2074.97382667989,1386.60598341382,2763.34166994595,0.165873861736248
"Whiteandtribs.","1988",4506.25748922074,3360.3114601604,5652.20351828108,0.12715052699513
"Whiteandtribs.","1989",876.235582880869,258.251971683635,1494.2191940781,0.352635537332004
"Whiteandtribs.","1990",4544.88120810479,2601.41475574549,6488.3476604641,0.213808278299284
"Whiteandtribs.","1991",1215.01624935785,432.965056757663,1997.06744195803,0.321827462395465
"Whiteandtribs.","1992",4466.23172692599,2882.99187957829,6049.4715742737,0.177245600334918
"Whiteandtribs.","1993",8059.37772753563,5510.54221882123,10608.2132362501,0.158128555012757
"Whiteandtribs.","1994",6935.0203340235,5291.2219951122,8578.81867293483,0.118514312845398
"Whiteandtribs.","1995",4280.7494773627,2667.7839859425,5893.71496878291,0.188397557477941
"Whiteandtribs.","1996",10278.8665989679,7729.86567953259,12827.8675184031,0.123992314468369
"Whiteandtribs.","1997",4961.94077064838,2927.59697692472,6996.28456437205,0.204994767950226
"Whiteandtribs.","1998",3912.60619693851,781.751467830051,7043.46092604699,0.400098370691927
"Whiteandtribs.","1999",3189.42229961069,2228.23954316453,4150.60505605687,0.150682892723784
"Whiteandtribs.","2000",6015.46300742392,4148.6880609871,7882.23795386077,0.155164693402068
"Whiteandtribs.","2001",5392.34188535943,2973.45497982611,7811.22879089277,0.224289089690397
"Whiteandtribs.","2002",2541.57416251912,1561.03834714065,3522.10997789761,0.19289931213469
"Whiteandtribs.","2003",4088.9720584728,2520.0810960512,5657.86302089442,0.191844177459062
"Whiteandtribs.","2004",3390.42360952129,1812.1274319113,4968.7197871313,0.232757961745206
"Whiteandtribs.","2005",6236.12192201076,4054.04459516449,8418.19924885705,0.174954671680208
"Whiteandtribs.","2006",3281.65073140183,1015.95675242074,5547.34471038294,0.345206447063496
"Whiteandtribs.","2007",3049.96624772574,1879.72380187314,4220.20869357836,0.191845146929941
"Whiteandtribs.","2008",2027.73203023684,1452.4423621699,2603.02169830378,0.141855447240665
"Whiteandtribs.","2009",3345.8266171684,2446.85013151136,4244.80310282545,0.134342957438999
"Whiteandtribs.","2010",1174.25679743024,99.4116387524103,2249.10195610807,0.457670400984706
"Whiteandtribs.","2011",2365.20083963286,1696.23214697405,3034.16953229166,0.141419003716117
"Whiteandtribs.","2012",2870.37661834125,1773.45360400082,3967.2996326817,0.191076496256846
"Whiteandtribs.","2013",2311.70797534181,2016.3497829653,2607.06616771832,0.0638831105673794
"Whiteandtribs.","2014",5037.25207680539,3728.92228686997,6345.58186674082,0.129865427616754
"Whiteandtribs.","2015",4743.45233301627,3685.17809078301,5801.72657524955,0.11155105690293
"Whiteandtribs.","2016",2570.46633832515,1547.12236978304,3593.81030686726,0.199058037307132
"Whiteandtribs.","2017",3337.20287812823,2204.17840982454,4470.22734643193,0.169756606008201
"Whiteandtribs.","2018",2804.29336507498,1758.98707381133,3849.59965633863,0.186376058989053
"Whiteandtribs.","2019",2437.36286762644,1560.42465656483,3314.30107868804,0.179894882027884
"Whiteandtribs.","2020",1647.97696655049,862.04474824683,2433.90918485414,0.23845364172436
"Whiteandtribs.","2021",1313.7943631612,683.418729599118,1944.16999672329,0.239906507151278
"Whiteandtribs.","2022",88.4258789534762,10,237.430000245065,0.642996153775083
"Whiteandtribs.","2023",955.220899137583,313.37418421594,1597.06761405922,0.335967688469301
"Whiteandtribs.","2024",779.211695270086,12.3334367922934,1546.08995374788,0.492085952465062
"Pelly","1985",7915.63013565912,6212.96320285574,9618.29706846253,0.107550940583558
"Pelly","1986",14496.8287538153,11479.4358659977,17514.221641633,0.104070791586867
"Pelly","1987",8698.61892588942,7198.28847451776,10198.9493772611,0.0862395780384337
"Pelly","1988",5474.96794449299,1756.50610632088,9193.42978266512,0.339587544244195
"Pelly","1989",6371.26581527864,240.312136097122,12502.2194944602,0.481140942548588
"Pelly","1990",14921.3252015916,2822.70705047164,27019.9433527117,0.405413660906924
"Pelly","1991",9993.09019223388,8017.24366352776,11968.93672094,0.0988606372352001
"Pelly","1992",14043.2699810896,11190.4222857965,16896.1176763828,0.101573483210631
"Pelly","1993",5657.93236369939,4311.22030566211,7004.64442173668,0.119010971806382
"Pelly","1994",6426.67609358364,4981.05646949158,7872.29571767571,0.112470241462407
"Pelly","1995",8341.02795702435,6126.5189271299,10555.5369869188,0.132747968314237
"Pelly","1996",7491.26194593149,5456.48478339483,9526.03910846817,0.135810039564947
"Pelly","1997",9213.43809828163,6768.33045260159,11658.5457439617,0.132692466134661
"Pelly","1998",6950.59308400061,2898.46146727081,11002.7247007304,0.291495385196503
"Pelly","1999",5168.61214924661,3955.00067228081,6382.22362621243,0.117402064802126
"Pelly","2000",10553.9279879704,8240.76531902821,12867.0906569126,0.109587760669715
"Pelly","2001",11067.8335176956,6111.39320422934,16024.273831162,0.223911947425925
"Pelly","2002",4189.0660220515,3082.16513976655,5295.96690433647,0.132117860694743
"Pelly","2003",11654.0174994567,9534.78302745316,13773.2519714604,0.0909229144414099
"Pelly","2004",8931.153410422,7080.05189304993,10782.2549277941,0.103631716549174
"Pelly","2005",16258.1437631473,13093.9252566103,19422.3622696844,0.0973118011697456
"Pelly","2006",13512.8665632743,9783.51098968214,17242.2221368664,0.137992762532264
"Pelly","2007",7696.72209951951,6048.29042476788,9345.15377427117,0.107086604754415
"Pelly","2008",4125.47081776231,3569.7685701888,4681.17306533584,0.067350161002343
"Pelly","2009",16141.11622952,14426.5229696544,17855.7094893856,0.0531125987659347
"Pelly","2010",7901.75384771127,6464.39275881737,9339.1149366052,0.0909520289163552
"Pelly","2011",8664.16931116138,7633.84238014084,9694.49624218195,0.0594590718404628
"Pelly","2012",6444.06636763026,4936.96665532618,7951.16607993437,0.116937010446892
"Pelly","2013",3564.01025638281,2715.39841635107,4412.62209641457,0.119052945837062
"Pelly","2014",6699.78231350923,5815.30420166807,7584.26042535041,0.0660079738753405
"Pelly","2015",16752.6794686116,15136.8630277092,18368.4959095141,0.0482256120261199
"Pelly","2016",13514.655296925,11570.1490001212,15459.1615937288,0.0719406545739367
"Pelly","2017",8615.83008232508,7221.74484341732,10009.9153212329,0.0809025494692418
"Pelly","2018",7368.34564971753,5796.57444471147,8940.11685472361,0.106656994644811
"Pelly","2019",4625.41516751195,4405.5887962653,4845.24153875861,0.0237628800102824
"Pelly","2020",5738.084012887,4978.66184898752,6497.5061767865,0.0661738449797814
"Pelly","2021",5703.21558887485,5309.24018714628,6097.19099060343,0.0345397605604366
