CU_ID,CU_Acro,CU_Name,Group,Description,DataQualkIdx,AbdMetric,AbsAbdMetric,ShortTrendMetric,LongTrendMetric,PercentileMetric,Avg_Gen,Cyclic,Cyc_Dom,Cyc_Dom_Year,TrendNumGen,TrendExtraYears,TrendLog,TrendSmooth,AvgType,AvgSmooth,AvgRecentExcl,LongTrendMinYears,RelAbd_AvgData,RelAbd_LBM,RelAbd_UBM,AbsAbd_LBM,AbsAbd_UBM,LongTrend_LBM,LongTrend_UBM,PercChange_LBM,PercChange_UBM,ProbDeclBelowLBM_LBM,ProbDeclBelowLBM_UBM,Trends_StartYr,Abd_StartYr
CK-68,Teslin,YukonRiver-TeslinHeadwaters,CK-Yukon,Preliminary,Rel_Idx,FALSE,FALSE,TRUE,TRUE,FALSE,6,FALSE,NA,NA,3,0,TRUE,TRUE,geomean,FALSE,FALSE,15,regular,NA,NA,1000,10000,0.5,0.75,-25,-15,NA,NA,1969,1969
CK-68.RR,Teslin(RR),YukonRiver-TeslinHeadwaters.RR,CK-Yukon,Preliminary,Abs_Abd,TRUE,TRUE,TRUE,TRUE,FALSE,6,FALSE,NA,NA,3,0,TRUE,TRUE,geomean,TRUE,FALSE,15,regular,1006,2012,1000,10000,0.5,0.75,-25,-15,NA,NA,1985,1985
CK-69,Upper Yukon R,UpperYukonR.,CK-Yukon,Preliminary,Abs_Abd,FALSE,TRUE,TRUE,TRUE,FALSE,6,FALSE,NA,NA,3,0,TRUE,TRUE,geomean,TRUE,FALSE,15,regular,NA,NA,1000,10000,0.5,0.75,-25,-15,NA,NA,2017,2017
CK-69.RR,Upper Yukon R (RR),UpperYukonR.RR,CK-Yukon,Preliminary,Abs_Abd,TRUE,TRUE,TRUE,TRUE,FALSE,6,FALSE,NA,NA,3,0,TRUE,TRUE,geomean,TRUE,FALSE,15,regular,1072,2145,1000,10000,0.5,0.75,-25,-15,NA,NA,1985,1985
CK-70,Big Salmon,Big Salmon,CK-Yukon,Preliminary,Abs_Abd,TRUE,TRUE,TRUE,TRUE,FALSE,6,FALSE,NA,NA,3,0,TRUE,TRUE,geomean,TRUE,FALSE,15,regular,1385,2770,1000,10000,0.5,0.75,-25,-15,NA,NA,1985,1985
CK-71,Nordenskiold,Nordenskiold,CK-Yukon,Preliminary,Abs_Abd,TRUE,TRUE,TRUE,TRUE,FALSE,6,FALSE,NA,NA,3,0,TRUE,TRUE,geomean,TRUE,FALSE,15,regular,317,635,1000,10000,0.5,0.75,-25,-15,NA,NA,1985,1985
CK-72,Pelly,Pelly,CK-Yukon,Preliminary,Abs_Abd,TRUE,TRUE,TRUE,TRUE,FALSE,6,FALSE,NA,NA,3,0,TRUE,TRUE,geomean,TRUE,FALSE,15,regular,2772,5544,1000,10000,0.5,0.75,-25,-15,NA,NA,1985,1985
CK-73,Middle YukonR ,MiddleYukonR.andTribs,CK-Yukon,Preliminary,Abs_Abd,TRUE,TRUE,TRUE,TRUE,FALSE,6,FALSE,NA,NA,3,0,TRUE,TRUE,geomean,TRUE,FALSE,15,regular,3957,7913,1000,10000,0.5,0.75,-25,-15,NA,NA,1985,1985
CK-74,Stewart,Stewart,CK-Yukon,Preliminary,Abs_Abd,TRUE,TRUE,TRUE,TRUE,FALSE,6,FALSE,NA,NA,3,0,TRUE,TRUE,geomean,TRUE,FALSE,15,regular,708,1416,1000,10000,0.5,0.75,-25,-15,NA,NA,1985,1985
CK-75,White ,WhiteandTribs,CK-Yukon,Preliminary,Abs_Abd,TRUE,TRUE,TRUE,TRUE,FALSE,6,FALSE,NA,NA,3,0,TRUE,TRUE,geomean,TRUE,FALSE,15,regular,1345,2691,1000,10000,0.5,0.75,-25,-15,NA,NA,1985,1985
CK-76,Northern Yukon R ,NorthernYukonR.andTribs,CK-Yukon,Preliminary,Abs_Abd,TRUE,TRUE,TRUE,TRUE,FALSE,6,FALSE,NA,NA,3,0,TRUE,TRUE,geomean,TRUE,FALSE,15,regular,1702,3404,1000,10000,0.5,0.75,-25,-15,NA,NA,1985,1985
CK-77,Salmon Fork,Salmon Fork,CK-Yukon,Preliminary,Abs_Abd,TRUE,TRUE,TRUE,TRUE,FALSE,6,FALSE,NA,NA,3,0,TRUE,TRUE,geomean,TRUE,FALSE,15,regular,NA,NA,1000,10000,0.5,0.75,-25,-15,NA,NA,2014,2014
CK-78,Porcupine,Porcupine,CK-Yukon,Preliminary,Abs_Abd,TRUE,TRUE,TRUE,TRUE,FALSE,6,FALSE,NA,NA,3,0,TRUE,TRUE,geomean,TRUE,FALSE,15,regular,NA,NA,1000,10000,0.5,0.75,-25,-15,NA,NA,2014,2014
CK-79,Old Crow,Old Crow,CK-Yukon,Preliminary,Abs_Abd,TRUE,TRUE,TRUE,TRUE,FALSE,6,FALSE,NA,NA,3,0,TRUE,TRUE,geomean,TRUE,FALSE,15,regular,NA,NA,1000,10000,0.5,0.75,-25,-15,NA,NA,2014,2014
